,Macro,Macro,Macro,Micro,Micro,Micro,
Fold,Precision,Recall,F1,Precision,Recall,F1,Accuracy
1,0.5156374601275917,0.5206842175342336,0.4744648641723862,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5208333333333334
2,0.4648148148148148,0.46455116851842754,0.41702904909971983,0.45,0.45,0.45,0.45
3,0.5454415954415954,0.47860274896702926,0.42143363480200335,0.4686192468619247,0.4686192468619247,0.4686192468619247,0.4686192468619247
4,0.5713309818101386,0.5129697623850732,0.4929000839777629,0.5146443514644351,0.5146443514644351,0.5146443514644351,0.5146443514644351
5,0.5238704032963621,0.46487123388547025,0.4187064255270065,0.4686192468619247,0.4686192468619247,0.4686192468619247,0.4686192468619247
6,0.5616798264762016,0.5167752420354893,0.46529946136499284,0.497907949790795,0.497907949790795,0.497907949790795,0.497907949790795
7,0.543266632166063,0.4949607487922706,0.4328244146005932,0.4602510460251046,0.4602510460251046,0.4602510460251046,0.4602510460251046
8,0.4168825863678805,0.39532391542324075,0.34471252696641297,0.41422594142259417,0.41422594142259417,0.41422594142259417,0.41422594142259417
9,0.5447972285786932,0.49390696319640526,0.48358176294923283,0.5188284518828452,0.5188284518828452,0.5188284518828452,0.5188284518828452
10,0.5820324932151425,0.5170462387853691,0.5050954155374887,0.5355648535564853,0.5355648535564853,0.5355648535564853,0.5355648535564853
Average,0.5269754022294484,0.48596922395230086,0.44560476389975995,0.4849494421199442,0.4849494421199442,0.4849494421199442,0.4849494421199442
